Type,Name
soma,CS_Cell[0].soma[0](0.5)
soma,CS_Cell[0].soma[0](0.5)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.884615)
soma,CS_Cell[0].soma[0](0.5)
soma,CS_Cell[0].soma[0](0.5)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.423077)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.730769)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.576923)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.269231)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.0384615)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.653846)
dend,CS_Cell[0].dend[0](0.346154)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.807692)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.5)
dend,CS_Cell[0].dend[0](0.192308)
dend,CS_Cell[0].dend[0](0.115385)
dend,CS_Cell[0].dend[0](0.884615)
dend,CS_Cell[0].dend[0](0.961538)
dend,CS_Cell[0].dend[0](0.961538)
